Przedmiot,Rzecz,Waga
Polski,Ćwiczenia,296
Polski,Podręcznik lit.,717
Polski,Podręcznik ort.,521
Polski,Zeszyt 60k,142
Matematyka,Podręcznik ,383
Matematyka,Ćwiczenia,166
Matematyka,Zeszyt 60k,148
Przyroda,Atlas,363
Przyroda,Podręcznik,345
Przyroda,Ćwiczenia,277
Przyroda,Zeszyt 60k,229
Religia,Ćwiczenia,208
Religia,Podręcznik,224
Religia,Zeszyt,136
Technika,Podręcznik,192
Technika,Zeszyt 100k,564
Angielski,Podręcznik,327
Angielski,Ćwiczenia,240
Angielski,Zeszyt 60k,148
Historia,Podręcznik,341
Historia, Zeszyt 60k,143
Muzyka,Podręcznik,298
Muzyka,Zeszyt 16k,62
Plastyka,Podręcznik,167
Plastyka,Zeszyt 16k,
Informatyka,Zeszyt 60k,159
Przybory,Teczka,60
Przybory,Piórnik,355
Przybory,Plecak,1000
WF,Gacie,85
WF,Koszulka,95
WF,Buty,
WF,Worek,117
